中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
43.153.80.208,443,43.153.80.208,US,San Jose,中转,19 ms,1440 Mbps,184320 kB/s,184320.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,25 ms,1368 Mbps,175104 kB/s,175104.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,17 ms,1240 Mbps,158720 kB/s,158720.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,16 ms,880 Mbps,112640 kB/s,112640.0
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,37 ms,616 Mbps,78950 kB/s,78950.0
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,38 ms,603 Mbps,77209 kB/s,77209.0
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,37 ms,601 Mbps,77004 kB/s,77004.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,35 ms,560 Mbps,71680 kB/s,71680.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,18 ms,467 Mbps,59801 kB/s,59801.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,2 ms,454 Mbps,58163 kB/s,58163.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,58 ms,390 Mbps,49971 kB/s,49971.0
192.9.236.144,443,192.9.236.144,US,San Jose,中转,15 ms,357 Mbps,45772 kB/s,45772.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,114 ms,200 Mbps,25702 kB/s,25702.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,146 ms,160 Mbps,20582 kB/s,20582.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,145 ms,144 Mbps,18432 kB/s,18432.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,146 ms,130 Mbps,16691 kB/s,16691.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,140 ms,46 Mbps,5956 kB/s,5956.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,119 ms,44 Mbps,5708 kB/s,5708.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,43 Mbps,5594 kB/s,5594.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,139 ms,43 Mbps,5513 kB/s,5513.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,146 ms,43 Mbps,5507 kB/s,5507.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,185 ms,18 Mbps,2419 kB/s,2419.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,53 ms,5 Mbps,697 kB/s,697.0
