中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,1 ms,1376 Mbps,176128 kB/s,176128.0
129.213.130.70,443,129.213.130.70,US,Ashburn,中转,7 ms,1088 Mbps,139264 kB/s,139264.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,680 Mbps,87040 kB/s,87040.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,85 ms,409 Mbps,52428 kB/s,52428.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,75 ms,380 Mbps,48742 kB/s,48742.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,78 ms,372 Mbps,47616 kB/s,47616.0
35.230.79.26,443,35.212.233.117,US,Seattle,隧道,69 ms,368 Mbps,47206 kB/s,47206.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,97 ms,356 Mbps,45670 kB/s,45670.0
35.197.23.75,443,35.212.233.117,US,Seattle,隧道,75 ms,316 Mbps,40550 kB/s,40550.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,83 ms,305 Mbps,39116 kB/s,39116.0
34.82.76.253,443,34.127.97.83,US,Seattle,隧道,78 ms,289 Mbps,37068 kB/s,37068.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,81 ms,272 Mbps,34816 kB/s,34816.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,271 Mbps,34713 kB/s,34713.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,81 ms,263 Mbps,33689 kB/s,33689.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,99 ms,252 Mbps,32358 kB/s,32358.0
141.148.244.95,443,2606:f240:f00:83a7:0:f6a2:8e54:7ae1,DE,Frankfurt,隧道,108 ms,221 Mbps,28364 kB/s,28364.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,93 ms,212 Mbps,27136 kB/s,27136.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,92 ms,183 Mbps,23449 kB/s,23449.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,198 ms,100 Mbps,12902 kB/s,12902.0
158.180.82.186,443,158.180.82.186,KR,Seoul,中转,201 ms,80 Mbps,10342 kB/s,10342.0
158.180.71.217,443,128.14.110.204,SG,Singapore,隧道,251 ms,48 Mbps,6218 kB/s,6218.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,97 ms,43 Mbps,5628 kB/s,5628.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,95 ms,42 Mbps,5442 kB/s,5442.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,178 ms,40 Mbps,5216 kB/s,5216.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,202 ms,40 Mbps,5141 kB/s,5141.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,184 ms,39 Mbps,5071 kB/s,5071.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,177 ms,34 Mbps,4458 kB/s,4458.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,221 ms,31 Mbps,4029 kB/s,4029.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,1 ms,29 Mbps,3835 kB/s,3835.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,83 ms,13 Mbps,1665 kB/s,1665.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,253 ms,7 Mbps,937 kB/s,937.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,220 ms,4 Mbps,596 kB/s,596.0
54.169.229.188,443,2406:da18:618:7e00:33b7:2027:d986:fdaa,SG,Singapore,隧道,224 ms,2 Mbps,304 kB/s,304.0
168.138.165.174,443,168.138.165.174,SG,San Jose,中转,264 ms,1 Mbps,150 kB/s,150.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,350 ms,0 Mbps,15 kB/s,15.0
