中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,19 ms,636 Mbps,81510 kB/s,81510.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,65 ms,472 Mbps,60518 kB/s,60518.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,73 ms,470 Mbps,60211 kB/s,60211.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,408 Mbps,52326 kB/s,52326.0
35.230.79.26,443,35.212.204.241,US,Seattle,隧道,70 ms,391 Mbps,50073 kB/s,50073.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,67 ms,328 Mbps,41984 kB/s,41984.0
34.82.76.253,443,136.118.180.134,US,Seattle,隧道,72 ms,311 Mbps,39833 kB/s,39833.0
192.9.236.144,443,192.9.236.144,US,San Jose,中转,75 ms,295 Mbps,37785 kB/s,37785.0
35.197.23.75,443,35.212.204.241,US,Seattle,隧道,71 ms,288 Mbps,36966 kB/s,36966.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,173 ms,113 Mbps,14540 kB/s,14540.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,100 ms,46 Mbps,5978 kB/s,5978.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,167 ms,39 Mbps,5062 kB/s,5062.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,97 ms,39 Mbps,5033 kB/s,5033.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,165 ms,37 Mbps,4797 kB/s,4797.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,206 ms,34 Mbps,4367 kB/s,4367.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,169 ms,30 Mbps,3933 kB/s,3933.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,234 ms,27 Mbps,3508 kB/s,3508.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,2 ms,7 Mbps,908 kB/s,908.0
129.146.46.164,443,129.146.46.164,304 Mbps,39014 kB/s,,,,,
