中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
184.169.181.217,443,184.169.181.217,US,San Jose,中转,3 ms,1376 Mbps,176128 kB/s,176128.0
34.82.76.253,443,34.169.66.96,US,Seattle,隧道,1031 ms,968 Mbps,123904 kB/s,123904.0
35.230.79.26,443,35.212.236.25,US,Seattle,隧道,31 ms,960 Mbps,122880 kB/s,122880.0
35.197.23.75,443,35.212.236.25,US,Seattle,隧道,24 ms,904 Mbps,115712 kB/s,115712.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,21 ms,872 Mbps,111616 kB/s,111616.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,22 ms,655 Mbps,83865 kB/s,83865.0
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,17 ms,457 Mbps,58572 kB/s,58572.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,65 ms,388 Mbps,49664 kB/s,49664.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,40 ms,366 Mbps,46899 kB/s,46899.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,212 Mbps,27238 kB/s,27238.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,174 ms,135 Mbps,17305 kB/s,17305.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,157 ms,133 Mbps,17100 kB/s,17100.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,143 ms,128 Mbps,16486 kB/s,16486.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,165 ms,108 Mbps,13926 kB/s,13926.0
193.123.60.41,443,163.123.193.3,DE,Munich,隧道,154 ms,108 Mbps,13824 kB/s,13824.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,172 ms,105 Mbps,13516 kB/s,13516.0
141.147.117.4,443,163.123.193.5,DE,Munich,隧道,153 ms,88 Mbps,11366 kB/s,11366.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,114 ms,49 Mbps,6360 kB/s,6360.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,117 ms,43 Mbps,5588 kB/s,5588.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,186 ms,41 Mbps,5373 kB/s,5373.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,137 ms,41 Mbps,5256 kB/s,5256.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,156 ms,37 Mbps,4742 kB/s,4742.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,72 ms,7 Mbps,920 kB/s,920.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,177 ms,1 Mbps,239 kB/s,239.0
